"Fartøy","Name","From","To","Length","Type","GrossTonnage","IMO"
"SKANDI KVITSØY","Skandi Kvitsøy","North sea","North sea","87.9","51","3958","9613824"
"BERGENSFJORD","Bergensfjord","Hirtshals","Bergen","170","43","31678","9586617"
"VIKING QUEEN","Viking Queen","Offshoreinst North Sea","Offshoreinst North Sea","92.2","51","6111","9372901"
"JUMBO","Jumbo","Larvik","Jøssingfjord","88.2","22","1998","8518297"
"OCEAN MARLIN","Ocean Marlin","North sea","North sea","66.8","51","2298","9669213"
"REM ARCTIC","Rem Arctic","North sea","North sea","87.22","51","4609","9731250"
"EIDSVAAG MARIN","Eidsvaag Marin","Bergen","Flekkefjord","58.6","31","1122","9133525"
"NORTH PURPOSE","North Purpose","Offshoreinst North Sea","North sea","86.8","51","3639","9439462"
"ENERGY SWAN","Energy Swan","Offshoreinst North Sea","Brage","93.4","51","4200","9319985"
"STRIL ORION","Stril Orion","North sea","North sea","93.5","51","4323","9584554"
"FAR SOLITAIRE","Far Solitaire","North sea","Florø","91.6","51","5346","9616175"
"ISLAND CHALLENGER","Island Challenger","North sea","TBN","93","51","4382","9371696"
"RO SERVER","Ro Server","Kårstø","Kårstø","82.1","71","3579","9773260"
"NYSAND","Nysand","Ukjent havn i ukjent land","Ukjent havn i ukjent land","48.2","22","469","6514936"
"GRIEGVIER","Griegvier","Ukjent norsk havn","Ukjent norsk havn","14.95","0","40","0"
"SKANDI NOVA","Skandi Nova","North sea","North sea","82.8","51","3788","9625009"
"SHJANDUR","Shjandur","Ukjent havn i ukjent land","Ukjent havn i ukjent land","23","31","129","7905235"
"OPTISHIP WORKER LADY","Optiship Worker Lady","Ukjent havn i ukjent land","Ukjent havn i ukjent land","33","31","322","8133126"
"BERGEN VIKING","Bergen Viking","Mongstad","Ågotnes","95.16","11","3960","9285213"
"BERGEN STAR","Bergen Star","Mongstad","Mongstad","89.99","11","3618","9321603"
"NORRLAND","Norrland","Aberdeen","Odda","107","34","5562","8818764"
"BB WORKER","Bb Worker","Kårstø","Scrabster","37.06","61","781","9360051"
"BBC GDANSK","Bbc Gdansk","Argentia","Aberdeen","122.45","0","6155","9436965"
"VOS GUARDIAN","Vos Guardian","Norway Offshore","Norway Offshore","55","51","1218","9064188"
"EIDSVAAG MARIN","Eidsvaag Marin","Flekkefjord","Bergen","58.6","31","1122","9133525"
"ECL COMMANDER","Ecl Commander","Ikornnes","Rotterdam","100.6","22","3850","9143829"
"RUMBA","Rumba","Bremerhaven","Husøy - Karmøy","132.6","32","6704","9264714"
"FALKBRIS","Falkbris","Svelgen","Trondheim","87","22","2449","9006291"
"MERI","Meri","Haugesund","Kalundborg","105.4","80","3774","9622502"
"NORSUND","Norsund","Ukjent havn i ukjent land","Ukjent havn i ukjent land","89.5","22","2705","9007075"
"HAVILA CHARISMA","Havila Charisma","Kollsnes","Florø","92.8","51","4327","9631890"
"STRAUMVIK","Straumvik","Ukjent havn i ukjent land","Ukjent havn i ukjent land","49.59","22","712","7042291"
"SUNDSTRAUM","Sundstraum","Peterhead","Mongstad","96.25","11","3206","8920567"
"STRIL ORION","Stril Orion","North sea","North sea","93.5","51","4323","9584554"
"COMABAR","Comabar","Haugesund","Haugesund","63.02","21","1211","8411231"
"ESVAGT BERGEN","Esvagt Bergen","North sea","North sea","80","51","3676","9431563"
"ANNE","Anne","Egersund","Haugesund","90.6","22","2035","9118006"
"NORMAND PROSPER","Normand Prosper","Offshoreinst North Sea","Bergen","95","51","8053","9447952"
"WILSON RHINE","Wilson Rhine","Antwerpen","Ålvik","78.3","22","1171","9168116"
"HEIMTUN 2","Heimtun 2","Ukjent norsk havn","Ukjent norsk havn","45.3","22","415","6159463"
"FAR SUN","Far Sun","North sea","North sea","94.65","51","4797","9665786"
"KEY MARIN","Key Marin","Mongstadbase","Knarrevik","88.42","11","2262","9297228"
"LOS 108","Los 108","Ukjent havn i ukjent land","Ukjent havn i ukjent land","0","80","47","0"
"ISLAND COMMANDER","Island Commander","Offshoreinst North Sea","Offshoreinst North Sea","93","51","4573","9409663"
"FAR SYMPHONY","Far Symphony","North sea","North sea","86.2","51","3743","9288253"
"NORTH POMOR","North Pomor","North sea","Mongstad","92.6","51","4513","9643465"
"SC ASTREA","Sc Astrea","Husøy - Karmøy","Esbjerg","129.1","34","9528","8917895"
"FAR SYGNA","Far Sygna","North sea","North sea","94.65","51","4797","9665798"
"GULLAAS","Gullaas","Ukjent havn i ukjent land","Ukjent havn i ukjent land","67.35","22","1167","8700993"
"SKANDI KVITSØY","Skandi Kvitsøy","North sea","North sea","87.9","51","3958","9613824"
"TUEBAS","Tuebas","Ukjent havn i ukjent land","Ukjent havn i ukjent land","0","0","13","0"
"NS ORLA","Ns Orla","Offshoreinst North Sea","Offshoreinst North Sea","97","51","5165","9657648"
"NYFJELL","Nyfjell","Ukjent havn i ukjent land","Ukjent havn i ukjent land","67.01","22","1155","7602584"
"TRANS CARRIER","Trans Carrier","Rotterdam","Bergen","144.15","34","9953","9007879"
"KEY BORA","Key Bora","Esbjerg","Averøy","92.86","11","2627","9316024"
"SC CONNECTOR","Sc Connector","Husøy - Karmøy","Immingham","154.5","32","12251","9131993"
"VEKTAREN","Vektaren","Ukjent havn i ukjent land","Ukjent havn i ukjent land","0","0","45","0"
"KAPRIFOL","Kaprifol","Fuglafjørdur","Vaksdal","89.37","11","1845","9200081"
"SKANDI FEISTEIN","Skandi Feistein","Norway Offshore","Norway Offshore","87.9","51","3959","9607693"
"MAERSK FLENSBURG","Maersk Flensburg","Egersund","Fusa","134.44","32","9990","9252773"
"SEA CARGO EXPRESS","Sea Cargo Express","Bergen","Aberdeen","117.38","34","6693","9358060"
"VOS HERA","Vos Hera","Aberdeen","Norway Offshore","59.3","51","1735","9570709"
